UID            PID  PPID C STIME TTY          TIME CMD
root           507     2 0 13:27:49 ?     00:00:00 [ngd_notify_sl3]
root           508     2 0 13:27:49 ?     00:00:00 [irq/94-qpnp_fla]
root           509     2 0 13:27:49 ?     00:00:00 [irq/93-qpnp_fla]
root           510     2 0 13:27:49 ?     00:00:00 [irq/92-qpnp_fla]
root           511     2 0 13:27:49 ?     00:00:00 [kworker/7:1H]
root           512     2 0 13:27:49 ?     00:00:00 [kworker/5:1H]
root           513     2 0 13:27:49 ?     00:00:00 [kdmflush]
root           514     2 0 13:27:49 ?     00:00:00 [bioset]
root           515     2 0 13:27:49 ?     00:00:00 [kdmflush]
root           516     2 0 13:27:49 ?     00:00:00 [bioset]
root           517     2 0 13:27:49 ?     00:00:00 [kdmflush]
root           518     2 0 13:27:49 ?     00:00:00 [bioset]
root           519     2 0 13:27:49 ?     00:00:00 [kdmflush]
root           520     2 0 13:27:49 ?     00:00:00 [bioset]
root           521     2 0 13:27:49 ?     00:00:00 [kdmflush]
root           522     2 0 13:27:49 ?     00:00:00 [bioset]
root           523     2 0 13:27:49 ?     00:00:00 [kworker/6:1H]
root           524     2 0 13:27:49 ?     00:00:00 [jbd2/sda11-8]
root           525     2 0 13:27:49 ?     00:00:00 [ext4-rsv-conver]
root           526     2 0 13:27:49 ?     00:00:00 [ext4-rsv-conver]
root           527     2 0 13:27:49 ?     00:00:00 [ext4-rsv-conver]
root           528     2 0 13:27:49 ?     00:00:00 [ext4-rsv-conver]
root           530     2 0 13:27:49 ?     00:00:00 [f2fs_flush-253:]
root           531     2 0 13:27:49 ?     00:00:00 [f2fs_discard-25]
root           532     2 0 13:27:49 ?     00:00:00 [f2fs_gc-253:4]
root           533     1 0 13:27:50 ?     00:00:00 init subcontext u:r:vendor_init:s0 11
root           534     1 0 13:27:50 ?     00:00:00 init subcontext u:r:vendor_init:s0 12
root           535     1 2 13:27:50 ?     00:00:00 ueventd
root           545     2 0 13:27:50 ?     00:00:00 [loop0]
root           548     2 0 13:27:50 ?     00:00:00 [kworker/2:1H]
root           549     2 0 13:27:50 ?     00:00:00 [ext4-rsv-conver]
root           550     2 0 13:27:50 ?     00:00:00 [loop1]
root           551     2 0 13:27:50 ?     00:00:00 [ext4-rsv-conver]
root           553     2 0 13:27:50 ?     00:00:00 [jbd2/sda2-8]
root           554     2 0 13:27:50 ?     00:00:00 [ext4-rsv-conver]
logd           555     1 8 13:27:50 ?     00:00:02 logd
system         556     1 1 13:27:50 ?     00:00:00 servicemanager
system         557     1 1 13:27:50 ?     00:00:00 hwservicemanager
system         558     1 0 13:27:50 ?     00:00:00 vndservicemanager /dev/vndbinder
