[16851.370277] google_charger: usbchg=USB typec=C usbv=4962 usbc=203 usbMv=5000 usbMc=500
[16861.143663] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbc3da000
[16861.143669] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec8121000
[16861.143684] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec807f000
[16861.143691] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28e20000
[16861.143701] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e4bdca000
[16861.143709] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28ac1000
[16861.143850] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7ad000
[16861.143859] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 141d0000
[16861.143869] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7a5000
[16861.143881] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7edf620000
[16861.143889] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7edf608000
[16861.143892] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fba671000
[16861.144071] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbcef3000
[16861.144076] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec7d56000
[16861.144108] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e9d583000
[16861.144116] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbabb000
[16861.144148] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ed078b000
[16861.144159] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbe9e000
[16861.144162] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbe9f000
[16861.144166] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28f78000
[16861.144174] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbc3cf000
[16861.144181] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28a22000
[16861.144242] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbc3d3000
[16861.144246] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec80e0000
[16861.144319] before: swapin tgid 9403 pid 18786 name "GLThread 421" vma 7eb0e6e000
[16861.144327] before: swapin tgid 9403 pid 18786 name "GLThread 421" vma 7eb0e6f000
[16861.144385] before: swapin tgid 9403 pid 18786 name "AudioTrack" vma 7e9d118000
[16861.144394] before: swapin tgid 9403 pid 18786 name "AudioTrack" vma 7e9d11a000
[16861.144399] before: swapin tgid 9403 pid 18786 name "AudioTrack" vma 7e9d119000
[16861.144447] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f2898b000
[16861.144497] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28de5000
[16861.144523] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f2d6a7000
[16861.144533] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f2d23e000
[16861.144542] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec8092000
[16861.144550] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ed0777000
[16861.144558] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28f7c000
[16861.144574] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ed06d0000
[16861.144581] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f2d697000
[16861.144588] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7eb0e50000
[16861.144597] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e9d81b000
[16861.144604] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28f7a000
[16861.144615] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e9e3b0000
[16861.144628] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7eb0e62000
[16861.144638] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28a1a000
[16861.144646] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7eb0e34000
[16861.144680] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7ac000
[16861.144788] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7ecc0ef000
[16861.144801] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70b03000
[16861.144823] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f308b5000
[16861.144833] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70c03000
[16861.144841] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7ecc0ed000
[16861.144848] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70c31000
[16861.144857] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70c10000
[16861.144863] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70a88000
[16861.144883] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70a9a000
[16861.144898] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70c05000
[16861.144916] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f2d72d000
[16861.144934] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f28d07000
[16861.144945] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f28d08000
[16861.144954] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f30821000
[16861.144992] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7b1000
[16861.145004] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 141df000
[16861.145011] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7b6000
[16861.145927] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 1412d000
[16861.145941] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 14130000
[16861.145948] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 14131000
[16861.145962] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7c1000
[16861.146049] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7fbc8e1000
[16861.146072] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70ab2000
[16861.146781] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 71051000
[16861.146906] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7fbe22d000
[16861.146929] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 9eb23000
[16861.146962] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 138c9000
[16861.147020] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 9eb24000
[16861.147054] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70aad000
[16861.147246] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e9cdec000
[16861.147299] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbc3d5000
[16861.147308] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ed06bd000
[16861.147354] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 141e4000
[16861.147377] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7ec8ccd000
[16861.147380] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e9d460000
[16861.147406] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28f76000
[16861.147460] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7e9d585000
[16861.147478] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbe16e000
[16861.147495] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7e6f15d000
[16861.147506] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7e6f15a000
[16861.147530] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7f1f7bd000
[16861.147544] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7f1f7a3000
[16861.147546] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28a7f000
[16861.147553] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7e6f15b000
[16861.147563] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7e6f159000
[16861.147572] before: swapin tgid 9403 pid 9835 name "GoogleApiHandle" vma 7f1f779000
[16861.147573] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fb9c55000
