[ 5323.267038] google_charger: usbchg=USB typec=C usbv=4878 usbc=489 usbMv=5000 usbMc=500
[ 5344.529053] healthd: battery l=99 v=4247 t=35.1 h=2 st=4 c=216 fc=2755000 cc=9 chg=u
[ 5354.291067] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fba24f000
[ 5365.069121] after: swapin tgid 896 pid 1058 name "thermal-engine" vma 7fbd093000
[ 5365.070568] after: swapin tgid 896 pid 1058 name "thermal-engine" vma 7fbd094000
[ 5365.071417] google_charger: MSC_THERM_DC lvl=1 dc_icl=500000 (0)
[ 5365.071517] google_charger: MSC_THERM_FCC lvl=2 (0)
[ 5365.073391] google_charger: usbchg=USB typec=C usbv=4879 usbc=488 usbMv=5000 usbMc=500
[ 5365.073487] sm8150_bms: MSC_PCS chg_state=1f4109003010015 [0x15:3:1:4240:500] chg=u
[ 5365.073498] google_battery: MSC_DIN chg_state=1f4109003010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4240 icl=500
[ 5365.076951] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4240781 ibatt=445937 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 5365.076960] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 5365.076963] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 5365.077015] sm8150_bms: CONSTANT_CHARGE_CURRENT_MAX : ivalue=901875, val=18 pause=0 (0)
[ 5365.077027] sm8150_bms: CONSTANT_CHARGE_VOLTAGE_MAX : ivalue=4400000, val=80 (0)
[ 5365.077031] google_charger: MSC_CHG fv_uv=4400000->4400000 cc_max=1400000->925000 rc=0
[ 5365.077038] google_charger: MSC_CHG fv_uv=4400000, cc_max=925000, rerun in 30000 ms (0)
[ 5382.892099] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fbcf24000
[ 5384.497597] after: swapin tgid 843 pid 843 name "msm_irqbalance" vma 7fbe1d5000
[ 5384.497675] after: swapin tgid 843 pid 843 name "msm_irqbalance" vma 7fbe1d3000
[ 5384.497717] after: swapin tgid 843 pid 843 name "msm_irqbalance" vma 7fbd3ec000
[ 5395.080055] google_charger: usbchg=USB typec=C usbv=4886 usbc=487 usbMv=5000 usbMc=500
[ 5395.080148] sm8150_bms: MSC_PCS chg_state=1f410aa03010015 [0x15:3:1:4266:500] chg=u
[ 5395.080157] google_battery: MSC_DIN chg_state=1f410aa03010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4266 icl=500
[ 5395.084222] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4271250 ibatt=206562 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 5395.084231] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 5395.084235] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 5395.084260] google_charger: MSC_CHG fv_uv=4400000, cc_max=925000, rerun in 30000 ms (0)
[ 5400.141080] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fbcf2c000
[ 5400.141094] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fbcf2a000
[ 5400.141106] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fbcf29000
[ 5400.141307] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fb4d07000
[ 5400.157748] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fbdab3000
[ 5400.157784] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe048000
[ 5400.157797] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbd800000
[ 5400.157816] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbd821000
[ 5400.157838] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 55555b2000
[ 5400.157847] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbda02000
[ 5400.185792] swapout tgid 1031 pid 1031 name "iptables-restor" vma 7fbe0c7000
[ 5400.185809] swapout tgid 1031 pid 1031 name "iptables-restor" vma 7fbd5ec000
[ 5400.185838] swapout tgid 1031 pid 1031 name "iptables-restor" vma 7fbd824000
[ 5400.209448] iaxxx-spi spi5.0: iaxxx_ext_clk_ctl: mclk_en 1, cancel 0
[ 5400.308985] iaxxx-spi spi5.0: Timeout for wakeup event rc :0 wake flag :0
[ 5400.345658] iaxxx-spi spi5.0: iaxxx_wakeup_chip set to normal power mode done
[ 5400.345662] iaxxx-spi spi5.0: iaxxx_wakeup_chip() Success
[ 5400.376543] after: swapin tgid 788 pid 788 name "Binder:788_3" vma 7fbdab3000
[ 5400.384611] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbe0c7000
[ 5400.384720] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbd5ec000
[ 5400.384740] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbda02000
[ 5400.384754] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbda03000
[ 5400.384799] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbe2e5000
[ 5400.384809] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbe2e3000
[ 5400.384820] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbda04000
[ 5400.384833] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbe0cc000
[ 5400.384852] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbda09000
[ 5400.384865] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbe2e2000
[ 5400.384900] after: swapin tgid 1031 pid 1031 name "iptables-restor" vma 7fbd824000
[ 5400.385044] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe048000
[ 5400.386463] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbd800000
[ 5400.386564] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbd821000
[ 5400.386602] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 55555b2000
[ 5403.428996] iaxxx-spi spi5.0: iaxxx_ext_clk_ctl: mclk_en 1, cancel 0
