[12834.533216] google_charger: usbchg=USB typec=C usbv=4870 usbc=489 usbMv=5000 usbMc=500
[12834.533324] sm8150_bms: MSC_PCS chg_state=1f4112303010015 [0x15:3:1:4387:500] chg=u
[12887.573329] after: swapin tgid 788 pid 15930 name "netd" vma 7fbcf22000
[12887.581273] swapout tgid 935 pid 935 name "storaged" vma 7fbba19000
[12887.581286] swapout tgid 935 pid 935 name "storaged" vma 7fba702000
[12887.581303] swapout tgid 935 pid 935 name "storaged" vma 7fba703000
[12887.581921] swapout tgid 935 pid 935 name "storaged" vma 7fbba09000
[12887.581933] swapout tgid 935 pid 935 name "storaged" vma 7fbdffd000
[12887.581947] swapout tgid 935 pid 935 name "storaged" vma 7fbdc78000
[12887.581963] swapout tgid 935 pid 935 name "storaged" vma 7fbe05f000
[12887.581970] swapout tgid 935 pid 935 name "storaged" vma 7fbba06000
[12887.581987] swapout tgid 935 pid 935 name "storaged" vma 7fbba22000
[12887.581992] swapout tgid 935 pid 935 name "storaged" vma 7fbba54000
[12887.582221] swapout tgid 935 pid 935 name "storaged" vma 7fbdffe000
[12887.582229] swapout tgid 935 pid 935 name "storaged" vma 7fbdffc000
[12887.582246] swapout tgid 935 pid 935 name "storaged" vma 7fbd206000
[12887.582261] swapout tgid 935 pid 935 name "storaged" vma 7fbdffb000
[12887.582275] swapout tgid 935 pid 935 name "storaged" vma 7fbba05000
[12887.582289] swapout tgid 935 pid 935 name "storaged" vma 7fbba0f000
[12887.582304] swapout tgid 935 pid 935 name "storaged" vma 7fbd838000
[12887.582318] swapout tgid 935 pid 935 name "storaged" vma 7fbd835000
[12887.582395] swapout tgid 935 pid 935 name "storaged" vma 7fbe1e5000
[12887.582406] swapout tgid 935 pid 935 name "storaged" vma 7fbd929000
[12887.582411] swapout tgid 935 pid 935 name "storaged" vma 7fbd926000
[12887.582416] swapout tgid 935 pid 935 name "storaged" vma 7fbba00000
[12887.582577] swapout tgid 935 pid 935 name "storaged" vma 5555581000
[12887.583376] swapout tgid 935 pid 935 name "storaged" vma 5555583000
[12887.583391] swapout tgid 935 pid 935 name "storaged" vma 7fbdc7e000
[12887.583396] swapout tgid 935 pid 935 name "storaged" vma 7fbdc70000
[12887.583403] swapout tgid 935 pid 935 name "storaged" vma 7fbdc7a000
[12887.583410] swapout tgid 935 pid 935 name "storaged" vma 7fbdc7b000
