# tracer: nop
#
# entries-in-buffer/entries-written: 5325/5325   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6063  [006] d..4  1257.556018: __free_cluster: [REMOTE __free_cluster] free cluster 1882
 send_target_man-200   [003] ...1  1270.472737: send_zram_to_nbd: target sent id 4: 6534 7e9fa8a000 8329f
 send_target_man-200   [003] ...1  1270.474475: send_zram_to_nbd: target sent id 4: 6534 7e9fab4000 832a0
 send_target_man-200   [003] ...1  1270.476191: send_zram_to_nbd: target sent id 4: 6534 7e9fab5000 832a1
 send_target_man-200   [003] ...1  1270.477904: send_zram_to_nbd: target sent id 4: 6534 7e9f73b000 832a2
 send_target_man-200   [003] ...1  1270.479690: send_zram_to_nbd: target sent id 4: 6534 7e9c911000 832a3
 send_target_man-200   [003] ...1  1270.481667: send_zram_to_nbd: target sent id 4: 6534 7e9c521000 832a4
 send_target_man-200   [003] ...1  1270.483969: send_zram_to_nbd: target sent id 4: 6534 7ebad20000 832a5
 send_target_man-200   [003] ...1  1270.485872: send_zram_to_nbd: target sent id 4: 6534 7e9facf000 832a6
 send_target_man-200   [003] ...1  1270.488111: send_zram_to_nbd: target sent id 4: 6534 7e9fad0000 832a7
 send_target_man-200   [003] ...1  1270.490212: send_zram_to_nbd: target sent id 4: 6534 7e9fad1000 832a8
 send_target_man-200   [003] ...1  1270.492544: send_zram_to_nbd: target sent id 4: 6534 7e9fa18000 832a9
 send_target_man-200   [001] ...1  1270.494913: send_zram_to_nbd: target sent id 4: 6534 7e9f73c000 832aa
 send_target_man-200   [001] ...1  1270.497440: send_zram_to_nbd: target sent id 4: 6534 7e9c522000 832ab
 send_target_man-200   [001] ...1  1270.500031: send_zram_to_nbd: target sent id 4: 6534 7e9c523000 832ac
 send_target_man-200   [001] ...1  1270.502603: send_zram_to_nbd: target sent id 4: 6534 7e9fad2000 832ad
 send_target_man-200   [001] ...1  1270.504574: send_zram_to_nbd: target sent id 4: 6534 7e9fbc9000 832ae
 send_target_man-200   [001] ...1  1270.506743: send_zram_to_nbd: target sent id 4: 6534 7e9fbca000 832af
 send_target_man-200   [001] ...1  1270.510034: send_zram_to_nbd: target sent id 4: 6534 7e9fb0c000 832b0
 send_target_man-200   [001] ...1  1270.512059: send_zram_to_nbd: target sent id 4: 6534 7e9fa19000 832b1
 send_target_man-200   [001] ...1  1270.513771: send_zram_to_nbd: target sent id 4: 6534 7e9f542000 832b2
 send_target_man-200   [001] ...1  1270.515547: send_zram_to_nbd: target sent id 4: 6534 7e9fb25000 832b3
 send_target_man-200   [000] ...1  1270.517557: send_zram_to_nbd: target sent id 4: 6534 7e9f73d000 832b4
 send_target_man-200   [000] ...1  1270.519528: send_zram_to_nbd: target sent id 4: 6534 7e9c6f3000 832b5
