# tracer: nop
#
# entries-in-buffer/entries-written: 5137/5137   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6048  [004] d..4   864.086419: __free_cluster: [REMOTE __free_cluster] free cluster 1015
 send_target_man-200   [002] ...1   878.931639: send_zram_to_nbd: target sent id 4: 6514 7ea3818000 26caa
 send_target_man-200   [002] ...1   878.933340: send_zram_to_nbd: target sent id 4: 6514 7eaf6e3000 26cab
 send_target_man-200   [002] ...1   878.935026: send_zram_to_nbd: target sent id 4: 6514 7eaf756000 26cac
 send_target_man-200   [001] ...1   878.936935: send_zram_to_nbd: target sent id 4: 6514 7ea3819000 26cad
 send_target_man-200   [001] ...1   878.939069: send_zram_to_nbd: target sent id 4: 6514 7eaf747000 26cae
 send_target_man-200   [001] ...1   878.941292: send_zram_to_nbd: target sent id 4: 6514 7ea381a000 26caf
 send_target_man-200   [001] ...1   878.943157: send_zram_to_nbd: target sent id 4: 6514 7eaf6f1000 26cb0
 send_target_man-200   [003] ...1   878.945129: send_zram_to_nbd: target sent id 4: 6514 7eaf757000 26cb1
 send_target_man-200   [003] ...1   878.946929: send_zram_to_nbd: target sent id 4: 6514 7ea38f2000 26cb2
 send_target_man-200   [003] ...1   878.948555: send_zram_to_nbd: target sent id 4: 6514 7ea38f1000 26cb3
 send_target_man-200   [003] ...1   878.950228: send_zram_to_nbd: target sent id 4: 6514 7ea38f3000 26cb4
 send_target_man-200   [003] ...1   878.951820: send_zram_to_nbd: target sent id 4: 6514 7eaf758000 26cb5
 send_target_man-200   [003] ...1   878.953532: send_zram_to_nbd: target sent id 4: 6514 7ea38f4000 26cb6
 send_target_man-200   [001] ...1   878.955436: send_zram_to_nbd: target sent id 4: 6514 7ea38f5000 26cb7
 send_target_man-200   [001] ...1   878.957852: send_zram_to_nbd: target sent id 4: 6514 7ea38ff000 26cb8
 send_target_man-200   [001] ...1   878.959655: send_zram_to_nbd: target sent id 4: 6514 7ea38f6000 26cb9
 send_target_man-200   [001] ...1   878.961530: send_zram_to_nbd: target sent id 4: 6514 7ea3940000 26cba
 send_target_man-200   [002] ...1   878.963725: send_zram_to_nbd: target sent id 4: 6514 7ea3900000 26cbb
 send_target_man-200   [002] ...1   878.965676: send_zram_to_nbd: target sent id 4: 6514 7ea3941000 26cbc
 send_target_man-200   [002] ...1   878.967578: send_zram_to_nbd: target sent id 4: 6514 7ea3942000 26cbd
 send_target_man-200   [002] ...1   878.969459: send_zram_to_nbd: target sent id 4: 6514 7ea393c000 26cbe
 send_target_man-200   [002] ...1   878.971425: send_zram_to_nbd: target sent id 4: 6514 7ea3901000 26cbf
 send_target_man-200   [002] ...1   878.973703: send_zram_to_nbd: target sent id 4: 6514 7ea39aa000 26cc0
