# tracer: nop
#
# entries-in-buffer/entries-written: 11966/11966   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6014  [006] d..4  1677.122764: __free_cluster: [REMOTE __free_cluster] free cluster 1774
 send_target_man-200   [001] ...1  1688.054880: send_zram_to_nbd: target sent: 6467 7eada81000 612811
 send_target_man-200   [001] ...1  1688.056769: send_zram_to_nbd: target sent: 6467 7ea19be000 612812
 send_target_man-200   [001] ...1  1688.058501: send_zram_to_nbd: target sent: 6467 7ea182b000 612813
 send_target_man-200   [001] ...1  1688.060708: send_zram_to_nbd: target sent: 6467 7ead746000 612814
 send_target_man-200   [001] ...1  1688.064832: send_zram_to_nbd: target sent: 6467 7ea15c0000 612815
 send_target_man-200   [003] ...1  1688.067035: send_zram_to_nbd: target sent: 6467 7eb7a4b000 612816
 send_target_man-200   [003] ...1  1688.069676: send_zram_to_nbd: target sent: 6467 7ea1a76000 612817
 send_target_man-200   [003] ...1  1688.072360: send_zram_to_nbd: target sent: 6467 7e9bb42000 612818
 send_target_man-200   [003] ...1  1688.074165: send_zram_to_nbd: target sent: 6467 7ea15c5000 612819
 send_target_man-200   [002] ...1  1688.076112: send_zram_to_nbd: target sent: 6467 7e9b6a7000 61281a
 send_target_man-200   [002] ...1  1688.078222: send_zram_to_nbd: target sent: 6467 7ea1a79000 61281b
 send_target_man-200   [001] ...1  1688.080359: send_zram_to_nbd: target sent: 6467 7e99040000 61281c
 send_target_man-200   [001] ...1  1688.082768: send_zram_to_nbd: target sent: 6467 7ead747000 61281d
 send_target_man-200   [001] ...1  1688.085101: send_zram_to_nbd: target sent: 6467 7eabfab000 61281e
 send_target_man-200   [003] ...1  1688.087591: send_zram_to_nbd: target sent: 6467 7e9b50a000 61281f
 send_target_man-200   [000] .n.1  1688.089921: send_zram_to_nbd: target sent: 6467 7e99042000 612820
 send_target_man-200   [000] ...1  1688.092323: send_zram_to_nbd: target sent: 6467 7ea1647000 612821
 send_target_man-200   [000] ...1  1688.094522: send_zram_to_nbd: target sent: 6467 7ea1522000 612822
 send_target_man-200   [000] ...1  1688.097035: send_zram_to_nbd: target sent: 6467 7eabc1f000 612823
 send_target_man-200   [000] ...1  1688.098940: send_zram_to_nbd: target sent: 6467 7e9bb43000 612824
 send_target_man-200   [000] ...1  1688.100718: send_zram_to_nbd: target sent: 6467 7e9b6d2000 612825
 send_target_man-200   [000] ...1  1688.103284: send_zram_to_nbd: target sent: 6467 7ea1a16000 612826
 send_target_man-200   [000] ...1  1688.105066: send_zram_to_nbd: target sent: 6467 7e9b4c8000 612827
 send_target_man-200   [000] ...1  1688.106768: send_zram_to_nbd: target sent: 6467 7eabfd0000 612828
 send_target_man-200   [000] ...1  1688.108476: send_zram_to_nbd: target sent: 6467 7e9b762000 612829
 send_target_man-200   [000] ...1  1688.110617: send_zram_to_nbd: target sent: 6467 7ead2a3000 61282a
 send_target_man-200   [002] ...1  1688.112816: send_zram_to_nbd: target sent: 6467 7e9b766000 61282b
 send_target_man-200   [002] ...1  1688.115358: send_zram_to_nbd: target sent: 6467 7ea15c8000 61282c
 send_target_man-200   [001] ...1  1688.118038: send_zram_to_nbd: target sent: 6467 7ea1524000 61282d
 send_target_man-200   [001] ...1  1688.120399: send_zram_to_nbd: target sent: 6467 7eabfe8000 61282e
 send_target_man-200   [001] ...1  1688.122244: send_zram_to_nbd: target sent: 6467 7ea14f6000 61282f
 send_target_man-200   [002] ...1  1688.124395: send_zram_to_nbd: target sent: 6467 7e9b593000 612830
