# tracer: nop
#
# entries-in-buffer/entries-written: 38827/38827   #P:1
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-11969 [004] ....  1981.089976: do_swap_page: swapin tgid 2264 11969 "LIVER_BROADCAST" 7ead589000 1ac5e9 1 1
           <...>-11969 [004] d..2  1981.089979: free_swap_slot: swapfree cache 1ac5e9
           <...>-11969 [004] ....  1981.089981: do_swap_page: swapin tgid 2264 11969 "LIVER_BROADCAST" 7ead58a000 1ac5ea 1 1
           <...>-11969 [004] d..2  1981.089982: free_swap_slot: swapfree cache 1ac5ea
           <...>-11969 [004] ....  1981.090039: do_swap_page: swapin tgid 2264 11969 "LIVER_BROADCAST" 7ead5d7000 1ac5fc 1 1
           <...>-11969 [004] d..2  1981.090042: free_swap_slot: swapfree cache 1ac5fc
 .gms.persistent-2264  [004] ....  1981.090154: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7eb3b98000 1a4291 0 1
 .gms.persistent-2264  [004] ....  1981.090463: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7eb3b98000 1a4291 1 1
 .gms.persistent-2264  [004] ....  1981.090475: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13a57000 15824b 0 1
 .gms.persistent-2264  [004] ....  1981.090603: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13a57000 15824b 1 1
 .gms.persistent-2264  [004] ....  1981.090616: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13841000 154275 0 1
 .gms.persistent-2264  [004] ....  1981.090741: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13841000 154275 1 1
 .gms.persistent-2264  [004] d..2  1981.090832: free_swap_slot: swapfree cache 19c57e
 .gms.persistent-2264  [004] ....  1981.090843: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 1301c000 14c2f6 0 1
 .gms.persistent-2264  [004] ....  1981.091150: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 1301c000 14c2f6 1 1
 .gms.persistent-2264  [004] ....  1981.091285: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 14146000 1682c0 1 1
 .gms.persistent-2264  [004] ....  1981.091384: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7eb3a88000 1a02f3 0 1
