id 7, table 1 || 318: 14462 7ea740b000
id 7, table 1 || 319: 14462 7ea75ab000
id 7, table 1 || 320: 14462 7ea75ac000
id 7, table 1 || 321: 14462 7ea740d000
id 7, table 1 || 322: 14462 7ea7368000
id 7, table 1 || 323: 14462 7ea7369000
id 7, table 1 || 324: 14462 9fab9000
id 7, table 1 || 325: 14462 7e8de4f000
id 7, table 1 || 326: 14462 7e8de51000
id 7, table 1 || 327: 14462 7ea7530000
id 7, table 1 || 328: 14462 7ea7531000
id 7, table 1 || 329: 14462 71b5b000
id 7, table 1 || 330: 14462 7e93f26000
id 7, table 1 || 331: 14462 7ecdb2b000
id 7, table 1 || 332: 14462 7ea745e000
id 7, table 1 || 333: 14462 7ea74d1000
id 7, table 1 || 334: 14462 7e94115000
id 7, table 1 || 335: 14462 7e93ecf000
id 7, table 1 || 336: 14462 7e9428a000
id 7, table 1 || 337: 14462 7e94073000
id 7, table 1 || 338: 14462 7e9428c000
id 7, table 1 || 339: 14462 7f1fafe000
id 7, table 1 || 340: 14462 7e940bc000
id 7, table 1 || 341: 14462 7e94158000
id 7, table 1 || 342: 14462 7e93ed1000
id 7, table 1 || 343: 14462 7e94154000
id 7, table 1 || 344: 14462 7e94085000
id 7, table 1 || 345: 14462 7e94289000
id 7, table 1 || 346: 14462 7e94082000
id 7, table 1 || 347: 14462 7e9413c000
id 7, table 1 || 348: 14462 7e940b8000
id 7, table 1 || 349: 14462 7ea759e000
id 7, table 1 || 350: 14462 7e94263000
id 7, table 1 || 351: 14462 71959000
id 7, table 1 || 352: 14462 71b53000
id 7, table 1 || 353: 14462 7fbbd33000
id 7, table 1 || 354: 14462 7f20c34000
id 7, table 1 || 355: 14462 7fbbd2d000
id 7, table 1 || 356: 14462 7e9428d000
id 7, table 1 || 357: 14462 9f91b000
id 7, table 1 || 358: 14462 7ea752d000
id 7, table 1 || 359: 14462 7ea74c8000
id 7, table 1 || 360: 14462 7ea74c5000
