[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21064.512259] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555b2000
[21064.512261] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a5000
[21064.512265] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a6000
[21064.512269] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a7000
[21064.512273] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a4000
[21064.512277] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a3000
[21064.512297] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 5555617000
[21064.512300] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfb1000
[21064.512302] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd814000
[21064.512310] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f2000
[21064.512315] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd830000
[21064.512328] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd80a000
[21064.512331] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbf6ff000
[21064.512333] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd5ec000
[21064.512335] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a8000
[21064.512393] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555b1000
[21064.512405] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 5555618000
[21064.512412] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd8f1000
[21064.515452] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfb2000
[21064.515476] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 55555a2000
[21064.515481] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbf700000
[21064.515488] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fffffb000
[21064.515492] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd80b000
[21064.515495] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbf6ef000
[21064.515500] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbe1c3000
[21064.515504] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb3a0a000
[21064.515727] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf3e000
[21064.515729] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbdf49000
[21064.515732] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd801000
[21064.515735] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd800000
[21064.515739] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd814000
[21064.515745] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8da000
[21064.515751] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8db000
[21064.515755] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8dc000
[21064.515762] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8dd000
[21064.515768] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd8de000
[21064.516455] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd220000
[21064.516460] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbf6ff000
[21064.520555] swapout tgid 536 pid 536 name "ueventd" vma 7f843ee000
[21064.520561] swapout tgid 536 pid 536 name "ueventd" vma 7f81a47000
[21064.520673] swapout tgid 536 pid 536 name "ueventd" vma 7f81a0a000
[21064.520676] swapout tgid 536 pid 536 name "ueventd" vma 7f81a37000
[21064.520678] swapout tgid 536 pid 536 name "ueventd" vma 7f81a09000
[21064.520681] swapout tgid 536 pid 536 name "ueventd" vma 7f81a7e000
[21064.520683] swapout tgid 536 pid 536 name "ueventd" vma 7f81b28000
[21064.520685] swapout tgid 536 pid 536 name "ueventd" vma 7f82ea6000
[21064.520706] swapout tgid 918 pid 918 name "storaged" vma 7fbe225000
[21064.520710] swapout tgid 918 pid 918 name "storaged" vma 7fbf6ef000
[21064.520714] swapout tgid 918 pid 918 name "storaged" vma 7fba701000
[21064.520718] swapout tgid 918 pid 918 name "storaged" vma 7fbd22d000
[21064.520722] swapout tgid 918 pid 918 name "storaged" vma 7fbba36000
[21064.520725] swapout tgid 918 pid 918 name "storaged" vma 7fbba6a000
[21064.520773] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbccfa000
[21064.520789] swapout tgid 536 pid 536 name "ueventd" vma 7f81a0b000
[21064.520792] swapout tgid 536 pid 536 name "ueventd" vma 7f81b43000
