[13805.138366] healthd: battery l=100 v=4392 t=32.2 h=2 st=5 c=-149 fc=2889000 cc=7 chg=u
[13805.317171] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e168000
[13805.317182] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9df2b000
[13805.317195] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 1321d000
[13805.317205] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e16a000
[13805.317224] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 132a3000
[13805.317366] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d6a2000
[13805.317408] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d66e000
[13805.317457] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13297000
[13805.317465] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 1322c000
[13805.317471] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13222000
[13805.317480] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13238000
[13805.317486] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 1323d000
[13805.317494] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 132a4000
[13805.317500] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 1328b000
[13805.317511] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 1327d000
[13805.317518] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13223000
[13805.317524] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13266000
[13805.317535] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13264000
[13805.317542] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13210000
[13805.317548] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13242000
[13805.317668] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d6a7000
[13805.317706] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d6ab000
[13805.317783] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6f86f000
[13805.317797] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13221000
[13805.317809] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e164000
[13805.317820] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9dd3d000
[13805.317829] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e2b2000
[13805.317839] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9df2f000
[13805.317901] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7eae4a4000
[13805.318238] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9da19000
[13805.318253] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 131b2000
[13805.318763] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 15498000
[13805.318778] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 9e110000
[13805.318780] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dce3000
[13805.318788] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e01d000
[13805.318798] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd40000
[13805.318807] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e076000
[13805.318821] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dabd000
[13805.319467] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dc30000
[13805.319494] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dcec000
[13805.319506] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e27a000
[13805.319515] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e025000
[13805.319527] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 13f5a000
[13805.319542] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd2a000
[13805.319950] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e0f2000
[13805.319965] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9d91b000
[13805.319975] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 701ad000
[13805.319982] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 13e92000
[13805.319990] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 14d99000
[13805.320011] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e0cd000
[13805.320239] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9db99000
[13805.320259] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15c75000
[13805.320273] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e186000
[13805.320715] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e0f3000
[13805.320752] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dae5000
[13805.320765] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dcae000
[13805.320772] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e240000
