[11626.138632] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f2d68d000
[11626.138633] before: swapin tgid 9444 pid 3912 name "GLThread 416" vma 7ea5303000
[11626.138639] before: swapin tgid 9444 pid 3912 name "GLThread 416" vma 7ea5304000
[11626.138639] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eafd8a000
[11626.138652] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28e48000
[11626.138670] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3980c000
[11626.138681] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28d4d000
[11626.138691] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2b00000
[11626.138700] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28b97000
[11626.138707] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9cd60000
[11626.138710] before: swapin tgid 9444 pid 3912 name "AudioTrack" vma 7f2d605000
[11626.138715] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2afd000
[11626.138718] before: swapin tgid 9444 pid 3912 name "AudioTrack" vma 7f2d606000
[11626.138722] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2afe000
[11626.138725] before: swapin tgid 9444 pid 3912 name "AudioTrack" vma 7f2d607000
[11626.138732] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca63b000
[11626.138757] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70dea000
[11626.138764] before: swapin tgid 9444 pid 3912 name "AudioTrack" vma 7fbe26c000
[11626.138770] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70de7000
[11626.138786] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca3e9000
[11626.138825] before: swapin tgid 9444 pid 3912 name "AudioTrack" vma 7fbe28f000
[11626.138836] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e9d079000
[11626.138850] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70de8000
[11626.138885] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3987e000
[11626.138896] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3989f000
[11626.138897] before: swapin tgid 9444 pid 3912 name "AudioTrack" vma 701ea000
[11626.138906] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f39887000
[11626.138914] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea67e8000
[11626.138927] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f2895f000
[11626.138935] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28960000
[11626.138942] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f398a3000
[11626.138951] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3984c000
[11626.138958] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f39862000
[11626.138965] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f39883000
[11626.138971] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f398ae000
[11626.138980] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f398c7000
[11626.138988] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbe18c000
[11626.138997] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f2d252000
[11626.139003] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eaf335000
[11626.139013] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea6a12000
[11626.139037] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70de6000
[11626.139408] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1f9000
[11626.139463] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e191000
[11626.139478] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e190000
[11626.139493] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d49000
[11626.139505] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bca000
[11626.139522] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70b97000
[11626.139539] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea5154000
[11626.139545] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ece0fd000
[11626.139548] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9d5d5000
[11626.139554] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9d5bd000
[11626.139561] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f289cd000
[11626.139565] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 9e1c7000
[11626.139569] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a81000
[11626.139578] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 9e279000
[11626.139585] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ece0fa000
[11626.139587] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea538e000
[11626.139610] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9d2a1000
[11626.139619] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ece0fb000
[11626.139625] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 705de000
[11626.139638] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f28d4f000
[11626.139646] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f28d50000
[11626.139660] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f28b65000
[11626.139693] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 9e203000
[11626.139716] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 70277000
[11626.139750] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7eafdb1000
[11626.140213] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7eafb8c000
[11626.140558] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d6ac000
[11626.140584] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7026c000
[11626.140650] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d613000
[11626.140662] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d6e6000
[11626.140672] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d6c9000
[11626.140674] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70269000
[11626.140691] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7eafd39000
[11626.140710] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d7ec000
[11626.140729] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ed0f75000
[11626.140749] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7eafbae000
[11626.140764] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d614000
[11626.140902] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab74000
[11626.140912] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb26db000
[11626.140990] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28ac0000
[11626.141013] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea4b1a000
[11626.141088] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed0fdf000
[11626.141493] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28a7e000
[11626.141523] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbd33a000
[11626.141604] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbc437000
[11626.141613] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2c0d000
[11626.142152] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eaf396000
[11626.142299] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9d88c000
[11626.142558] before: swapin tgid 9444 pid 3913 name "GLThread 416" vma 7e9cdc8000
