# tracer: nop
#
# entries-in-buffer/entries-written: 19077/19077   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-18320 [007] ....  3551.898860: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [002] ...1  4145.520601: send_zram_to_nbd: target sent: 1337 7eb7fa8000 39d40
 send_target_man-200   [002] ...1  4145.522817: send_zram_to_nbd: target sent: 1337 7eb8d20000 39d41
 send_target_man-200   [002] ...1  4145.524899: send_zram_to_nbd: target sent: 1337 7eb7fb9000 39d42
 send_target_man-200   [002] ...1  4145.527624: send_zram_to_nbd: target sent: 1337 7eb7fba000 39d43
 send_target_man-200   [002] ...1  4145.529824: send_zram_to_nbd: target sent: 1337 7eb7ea1000 39d44
 send_target_man-200   [002] ...1  4145.533905: send_zram_to_nbd: target sent: 1337 7eb7ea2000 39d45
 send_target_man-200   [002] ...1  4145.537009: send_zram_to_nbd: target sent: 1337 7eb8067000 39d46
 send_target_man-200   [002] ...1  4145.539093: send_zram_to_nbd: target sent: 1337 7eb8068000 39d47
 send_target_man-200   [002] ...1  4145.541427: send_zram_to_nbd: target sent: 1337 7eb8069000 39d48
 send_target_man-200   [002] ...1  4145.543465: send_zram_to_nbd: target sent: 1337 7eb806b000 39d49
 send_target_man-200   [002] ...1  4145.545562: send_zram_to_nbd: target sent: 1337 7eb806c000 39d4a
 send_target_man-200   [002] ...1  4145.547662: send_zram_to_nbd: target sent: 1337 7eb806d000 39d4b
 send_target_man-200   [002] ...1  4145.549902: send_zram_to_nbd: target sent: 1337 7eb8070000 39d4c
 send_target_man-200   [002] ...1  4145.552238: send_zram_to_nbd: target sent: 1337 7e86793000 39d4d
 send_target_man-200   [002] ...1  4145.554389: send_zram_to_nbd: target sent: 1337 7e866ba000 39d4e
 send_target_man-200   [002] ...1  4145.556560: send_zram_to_nbd: target sent: 1337 7e866bb000 39d4f
 send_target_man-200   [002] ...1  4145.558641: send_zram_to_nbd: target sent: 1337 7e866bc000 39d50
 send_target_man-200   [002] ...1  4145.560826: send_zram_to_nbd: target sent: 1337 7e866bf000 39d51
 send_target_man-200   [002] ...1  4145.562972: send_zram_to_nbd: target sent: 1337 7e866c1000 39d52
 send_target_man-200   [002] ...1  4145.565029: send_zram_to_nbd: target sent: 1337 7e866c2000 39d53
 send_target_man-200   [003] ...1  4145.567927: send_zram_to_nbd: target sent: 1337 7e866c3000 39d54
 send_target_man-200   [001] ...1  4145.570124: send_zram_to_nbd: target sent: 1337 7eb8da0000 49d0b
 send_target_man-200   [001] ...1  4145.574466: send_zram_to_nbd: target sent: 1337 7e866c4000 45d28
 send_target_man-200   [001] ...1  4145.577048: send_zram_to_nbd: target sent: 1337 7e866c5000 45d29
 send_target_man-200   [001] ...1  4145.579849: send_zram_to_nbd: target sent: 1337 7e866c6000 45d2a
 send_target_man-200   [001] ...1  4145.582009: send_zram_to_nbd: target sent: 1337 7e866c8000 45d2b
 send_target_man-200   [001] ...1  4145.584253: send_zram_to_nbd: target sent: 1337 7e866bd000 45d2c
 send_target_man-200   [001] ...1  4145.586353: send_zram_to_nbd: target sent: 1337 7e866be000 45d2d
 send_target_man-200   [001] ...1  4145.588905: send_zram_to_nbd: target sent: 1337 7e867a8000 45d2e
 send_target_man-200   [001] ...1  4145.591222: send_zram_to_nbd: target sent: 1337 7e867a9000 45d2f
 send_target_man-200   [001] ...1  4145.593448: send_zram_to_nbd: target sent: 1337 7e866c9000 45d30
 send_target_man-200   [001] ...1  4145.595638: send_zram_to_nbd: target sent: 1337 7e866ca000 45d31
 send_target_man-200   [001] ...1  4145.597786: send_zram_to_nbd: target sent: 1337 7eb8db1000 45d32
 send_target_man-200   [001] ...1  4145.599860: send_zram_to_nbd: target sent: 1337 7eb8db2000 45d33
 send_target_man-200   [001] ...1  4145.602005: send_zram_to_nbd: target sent: 1337 7e8679e000 45d34
 send_target_man-200   [003] ...1  4145.604106: send_zram_to_nbd: target sent: 1337 7eb8099000 45d35
 send_target_man-200   [003] ...1  4145.606243: send_zram_to_nbd: target sent: 1337 7e8679f000 49d0c
 send_target_man-200   [003] ...1  4145.608333: send_zram_to_nbd: target sent: 1337 7e867a0000 49d0d
 send_target_man-200   [002] ...1  4145.610467: send_zram_to_nbd: target sent: 1337 7e867a3000 49d0e
 send_target_man-200   [002] ...1  4145.613391: send_zram_to_nbd: target sent: 1337 7e867a5000 39d55
