[14862.378422] foreground_evict = 0
[14862.378426] background_evict = 0
[14862.378428] foreground_refault = 0
[14862.378429] background_refault = 0
[14862.378430] foreground_fault = 0
[14862.378431] background_fault = 0
[14868.994667] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e7b5000
[14868.994749] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e7b8000
[14868.994760] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e7b9000
[14868.994772] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e84c000
[14868.994789] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e84d000
[14868.994826] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e87f000
[14868.994865] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e880000
[14868.994877] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e881000
[14868.994889] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e882000
[14868.994952] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7ed39f4000
[14868.995003] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e9b6000
[14868.995021] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e9b8000
[14868.995039] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5ea0c000
