# tracer: nop
#
# entries-in-buffer/entries-written: 12131/12131   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-29644 [007] ....  6929.206312: app_switch_start_handler: ###########switch start! foreground 0#############
     kworker/0:1-29477 [000] ....  6929.399825: cold_page_sender_work: remote: total sent cold page: 5885
     kworker/0:1-29477 [000] ....  6929.399832: cold_page_sender_work: remote: total faulted cold page: 19
           <...>-4846  [000] ....  7270.517769: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d7d000 8d249
           <...>-4846  [000] ....  7270.520241: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d7a000 8d246
           <...>-4846  [000] ....  7270.522823: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d80000 8d24c
           <...>-4846  [000] ....  7270.525338: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d7c000 8d248
           <...>-4846  [000] ....  7270.527597: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc9000 8529b
           <...>-4846  [000] ....  7270.529905: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d7b000 8d247
           <...>-4846  [000] ....  7270.532276: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fe0b000 852a6
           <...>-4846  [000] ....  7270.534819: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc8000 8529a
           <...>-4846  [000] ....  7270.537670: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc7000 85299
           <...>-4846  [000] ....  7270.540173: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdca000 8529c
           <...>-4846  [000] ....  7270.543992: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9ef6f000 61288
           <...>-31126 [001] ....  7270.554437: read_swap_cache_async: remote readpage 4718 "network-4-40" 9ef45000 61283
           <...>-31126 [001] ....  7270.558199: read_swap_cache_async: remote readpage 4718 "network-4-40" 7f29950000 b1233
           <...>-4853  [000] ....  7270.879968: read_swap_cache_async: remote readpage 4718 "ThreadPoolForeg" 7e98d4e000 f9207
 send_target_man-201   [003] d..2  7271.092377: send_target_manager: send target manager - id, which_table : 7, 1
           <...>-4854  [000] ....  7271.348997: read_swap_cache_async: remote readpage 4718 "ChromiumNet" 7ea209d000 992a7
           <...>-4854  [000] ....  7271.351352: read_swap_cache_async: remote readpage 4718 "ChromiumNet" 7ea209e000 992a8
           <...>-4854  [000] ....  7271.353846: read_swap_cache_async: remote readpage 4718 "ChromiumNet" 7ea209c000 992a6
           <...>-4854  [000] ....  7271.356419: lookup_swap_cache: prefetch hit 4718 "ChromiumNet" 7ecdae1000 bd2e4
           <...>-4854  [000] ....  7271.356735: read_swap_cache_async: remote readpage 4718 "ChromiumNet" 7ea209f000 992a9
           <...>-4854  [000] ....  7271.361342: read_swap_cache_async: remote readpage 4718 "ChromiumNet" 7ea20a0000 992aa
           <...>-31127 [001] ....  7271.366824: read_swap_cache_async: remote readpage 4718 "network-4-41" 7f2d6ab000 b524f
           <...>-31121 [001] ....  7271.375422: read_swap_cache_async: remote readpage 4718 "services-3-629" 9f7e4000 652d0
           <...>-31121 [001] ....  7271.377853: read_swap_cache_async: remote readpage 4718 "services-3-629" 9f6a0000 6528d
           <...>-31121 [001] ....  7271.380163: read_swap_cache_async: remote readpage 4718 "services-3-629" 9f7be000 652cb
           <...>-31120 [001] ....  7271.399552: read_swap_cache_async: remote readpage 4718 "services-3-628" 9f76c000 652b3
           <...>-4846  [001] ....  7271.406198: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f051000 692fe
           <...>-4846  [001] ....  7271.410759: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9908c000 912ba
           <...>-4846  [001] ....  7271.413917: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f050000 692fd
           <...>-4846  [001] ....  7271.417368: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fd3b000 85260
           <...>-4846  [001] ....  7271.420975: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9ef5a000 61285
           <...>-31121 [001] ....  7271.425880: read_swap_cache_async: remote readpage 4718 "services-3-629" 9f62e000 65279
 send_target_man-201   [003] d..2  7281.118702: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7291.145490: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7301.172057: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7311.199073: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7321.225338: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7331.252490: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] ...1  7331.269075: send_zram_to_nbd: target sent: 558 7fbd6ca000 ed25c
 send_target_man-201   [003] ...1  7331.271364: send_zram_to_nbd: target sent: 558 7fb55cf000 ed25d
 send_target_man-201   [003] ...1  7331.273822: send_zram_to_nbd: target sent: 558 7fbd768000 ed25e
 send_target_man-201   [003] d..2  7341.278854: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7351.307134: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] ...1  7351.321579: send_zram_to_nbd: target sent: 602 7fb7657000 ed25f
 send_target_man-201   [003] ...1  7351.324196: send_zram_to_nbd: target sent: 607 7fbd026000 ed260
 send_target_man-201   [003] ...1  7351.326289: send_zram_to_nbd: target sent: 607 7ffffff000 ed261
 send_target_man-201   [003] ...1  7351.328392: send_zram_to_nbd: target sent: 607 7fbe422000 ed262
 send_target_man-201   [003] ...1  7351.330552: send_zram_to_nbd: target sent: 607 7fbd021000 ed263
 send_target_man-201   [003] ...1  7351.332806: send_zram_to_nbd: target sent: 607 7fbd019000 ed264
 send_target_man-201   [003] ...1  7351.335529: send_zram_to_nbd: target sent: 607 7fbf700000 ed265
 send_target_man-201   [003] ...1  7351.337671: send_zram_to_nbd: target sent: 607 7fbd006000 ed266
 send_target_man-201   [003] ...1  7351.339764: send_zram_to_nbd: target sent: 607 7fbd009000 ed267
 send_target_man-201   [003] ...1  7351.342235: send_zram_to_nbd: target sent: 607 7fbd053000 ed268
 send_target_man-201   [003] ...1  7351.345753: send_zram_to_nbd: target sent: 607 7fbe17a000 ed269
 send_target_man-201   [003] ...1  7351.347724: send_zram_to_nbd: target sent: 607 7fbd00d000 ed26a
 send_target_man-201   [003] ...1  7351.350077: send_zram_to_nbd: target sent: 607 7fbd01c000 ed26b
 send_target_man-201   [002] ...1  7351.352398: send_zram_to_nbd: target sent: 607 7fbd968000 ed26c
 send_target_man-201   [002] ...1  7351.354905: send_zram_to_nbd: target sent: 607 7fbdd40000 e92ac
