# tracer: nop
#
# entries-in-buffer/entries-written: 5389/5389   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-9603  [007] ....   993.901817: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [002] ....   993.933463: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [002] ....   993.933471: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [003] ....  1064.586895: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [003] ....  1064.586918: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [003] ....  1214.773577: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [003] ....  1214.773605: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [003] ....  1364.960164: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [003] ....  1364.960192: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [000] ....  1515.146924: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [000] ....  1515.146952: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [000] ....  1665.333215: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [000] ....  1665.333241: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-12297 [007] ....  1781.757260: app_switch_start_handler: ###########switch start! foreground 10136#############
           <...>-1355  [006] ...1  1781.779914: do_swap_page: id 7, table 1 || 102: 1336 9e7d3000
     logd.writer-570   [003] ...1  1781.779939: do_swap_page: id 7, table 1 || 103: 558 7fbd8e9000
           <...>-1355  [006] ...1  1781.779979: do_swap_page: id 7, table 1 || 104: 1336 7f2d4f0000
     logd.writer-570   [003] ...1  1781.780028: do_swap_page: id 7, table 1 || 105: 558 7fbd96e000
           <...>-1355  [006] ...1  1781.780030: do_swap_page: id 7, table 1 || 106: 1336 13dfb000
     logd.writer-570   [003] ...1  1781.780059: do_swap_page: id 7, table 1 || 107: 558 7fbd839000
     logd.writer-570   [003] ...1  1781.780083: do_swap_page: id 7, table 1 || 108: 558 7fbd9a8000
           <...>-1355  [006] ...1  1781.780136: do_swap_page: id 7, table 1 || 109: 1336 9e73a000
           <...>-1355  [006] ...1  1781.780151: do_swap_page: id 7, table 1 || 110: 1336 9e73b000
           <...>-2036  [004] ...1  1781.780239: do_swap_page: id 7, table 1 || 111: 1997 7f2deab000
           <...>-2036  [004] ...1  1781.780269: do_swap_page: id 7, table 1 || 112: 1997 13d11000
           <...>-1355  [006] ...1  1781.780299: do_swap_page: id 7, table 1 || 113: 1336 9e9e2000
           <...>-1355  [006] ...1  1781.780328: do_swap_page: id 7, table 1 || 114: 1336 7eb4325000
           <...>-1355  [006] ...1  1781.780369: do_swap_page: id 7, table 1 || 115: 1336 7e9b951000
 droid.launcher3-1997  [005] ...1  1781.780441: do_swap_page: id 7, table 1 || 116: 1997 13c04000
 droid.launcher3-1997  [005] ...1  1781.780497: do_swap_page: id 7, table 1 || 117: 1997 7fbe23f000
 droid.launcher3-1997  [005] ...1  1781.780507: do_swap_page: id 7, table 1 || 118: 1997 7fbe23e000
           <...>-1355  [006] ...1  1781.780576: do_swap_page: id 7, table 1 || 119: 1336 9e7e2000
     logd.writer-570   [000] ...1  1781.780608: do_swap_page: id 7, table 1 || 120: 558 7fb55f6000
           <...>-1355  [006] ...1  1781.780622: do_swap_page: id 7, table 1 || 121: 1336 9e9d7000
     logd.writer-570   [000] ...1  1781.780638: do_swap_page: id 7, table 1 || 122: 558 7fb55f7000
     logd.writer-570   [000] ...1  1781.780693: do_swap_page: id 7, table 1 || 123: 558 7fbd9ac000
           <...>-1359  [005] ...1  1781.780716: do_swap_page: id 7, table 1 || 124: 1336 7f210df000
     logd.writer-570   [000] ...1  1781.780719: do_swap_page: id 7, table 1 || 125: 558 7fb55ec000
           <...>-1359  [005] ...1  1781.780739: do_swap_page: id 7, table 1 || 126: 1336 7f2d484000
           <...>-1355  [006] ...1  1781.780753: do_swap_page: id 7, table 1 || 127: 1336 9e874000
           <...>-1355  [006] ...1  1781.780784: do_swap_page: id 7, table 1 || 128: 1336 7fbe176000
           <...>-1355  [006] ...1  1781.780793: do_swap_page: id 7, table 1 || 129: 1336 7fbe235000
           <...>-1355  [006] ...1  1781.780876: do_swap_page: id 7, table 1 || 130: 1336 9e9b5000
     logd.writer-570   [000] ...1  1781.780896: do_swap_page: id 7, table 1 || 131: 558 7fbd878000
     logd.writer-570   [000] ...1  1781.780935: do_swap_page: id 7, table 1 || 132: 558 7fb56b2000
           <...>-869   [000] ...1  1781.781055: do_swap_page: id 7, table 1 || 133: 869 7fbd915000
 ndroid.systemui-1682  [003] ...1  1781.781120: do_swap_page: id 7, table 1 || 134: 1682 9ea24000
           <...>-1355  [006] ...1  1781.781153: do_swap_page: id 7, table 1 || 135: 1336 7e9be60000
 ndroid.systemui-1682  [003] ...1  1781.781155: do_swap_page: id 7, table 1 || 136: 1682 9e902000
           <...>-1355  [006] ...1  1781.781209: do_swap_page: id 7, table 1 || 137: 1336 151a5000
 ndroid.systemui-1682  [003] ...1  1781.781211: do_swap_page: id 7, table 1 || 138: 1682 9e943000
