[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9802.159665] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7737a000
[ 9802.159672] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7737b000
[ 9802.159681] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7737c000
[ 9802.159689] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7737d000
[ 9802.159697] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7737e000
[ 9802.159705] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7737f000
[ 9802.159713] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77380000
[ 9802.159719] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77381000
[ 9802.159726] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77382000
[ 9802.159735] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77384000
[ 9802.159745] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77385000
[ 9802.159758] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77386000
[ 9802.159765] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77387000
[ 9802.159772] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77388000
[ 9802.159780] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77389000
[ 9802.159787] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7738a000
[ 9802.159794] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7738b000
[ 9802.159800] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7738c000
[ 9802.159809] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7738d000
[ 9802.159815] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7738e000
[ 9802.160429] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7b005000
[ 9802.166491] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7f2d768000
[ 9802.166534] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7f2d7c3000
[ 9802.177200] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 70869000
[ 9802.180560] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e70787000
[ 9802.188726] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7afaf000
[ 9802.189198] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7b006000
[ 9802.221957] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7ad3e000
[ 9802.221998] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a85a000
[ 9802.235909] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7eaed77000
[ 9802.240536] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7eaed7a000
[ 9802.313859] after: swapin tgid 15666 pid 15748 name "ackgroundLooper" vma 7eaebd6000
[ 9802.313931] after: swapin tgid 15666 pid 15748 name "ackgroundLooper" vma 7f2d750000
[ 9802.314466] after: swapin tgid 15666 pid 15748 name "ackgroundLooper" vma 7e7b00c000
[ 9802.317105] after: swapin tgid 15666 pid 15748 name "ackgroundLooper" vma 7e4e407000
[ 9802.503038] after: swapin tgid 15666 pid 15840 name "hwuiTask0" vma 7e4e468000
[ 9802.514204] after: swapin tgid 15666 pid 15840 name "hwuiTask0" vma 7e50b28000
[ 9802.515978] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e80567000
[ 9802.559499] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e76f82000
[ 9802.559570] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e95eb8000
[ 9802.559593] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e4e579000
[ 9802.559616] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e80519000
[ 9802.559641] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7f2d712000
[ 9802.559660] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e4e712000
[ 9802.593415] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e707a3000
[ 9802.593494] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7f2d726000
[ 9802.603767] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e70806000
[ 9802.603828] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e4e57a000
[ 9802.648407] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7af48000
[ 9802.714363] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e4e408000
[ 9802.869795] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e77216000
[ 9803.201080] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e70605000
[ 9803.201166] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e4e59d000
[ 9803.201217] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e701f1000
[ 9803.201299] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e6fc3a000
[ 9803.201352] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7087c000
[ 9803.201782] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e4e396000
[ 9803.201854] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7073e000
[ 9803.201923] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7071f000
[ 9803.203908] swapout tgid 29459 pid 29459 name "am.android:mqtt" vma 7f28d3c000
[ 9803.203950] swapout tgid 29459 pid 29459 name "am.android:mqtt" vma 7f28da1000
[ 9803.204236] swapout tgid 29459 pid 29459 name "am.android:mqtt" vma 7f28da2000
[ 9803.204326] swapout tgid 29459 pid 29459 name "am.android:mqtt" vma 7f28bc5000
[ 9803.536052] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7eaed36000
[ 9803.536141] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7eaed37000
[ 9803.536185] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7e94a51000
[ 9803.657154] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 724a9000
