# tracer: nop
#
# entries-in-buffer/entries-written: 8468/8468   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-5987  [005] d..4   660.537598: __free_cluster: [REMOTE __free_cluster] free cluster 975
 send_target_man-200   [000] ...1   683.058384: send_zram_to_nbd: target sent: 6475 7eaf245000 548e
 send_target_man-200   [000] ...1   683.060538: send_zram_to_nbd: target sent: 6475 7eaf960000 548f
 send_target_man-200   [000] ...1   683.062751: send_zram_to_nbd: target sent: 6475 7eaf246000 5490
 send_target_man-200   [000] ...1   683.064590: send_zram_to_nbd: target sent: 6475 7eaf247000 5491
 send_target_man-200   [000] ...1   683.066379: send_zram_to_nbd: target sent: 6475 7eaf269000 5492
 send_target_man-200   [000] ...1   683.068122: send_zram_to_nbd: target sent: 6475 7eaf26a000 5493
 send_target_man-200   [000] ...1   683.071660: send_zram_to_nbd: target sent: 6475 7e9c8aa000 5494
 send_target_man-200   [000] ...1   683.074785: send_zram_to_nbd: target sent: 6475 7eaf26b000 5495
 send_target_man-200   [000] ...1   683.078782: send_zram_to_nbd: target sent: 6475 7eaf276000 5496
 send_target_man-200   [000] ...1   683.080947: send_zram_to_nbd: target sent: 6475 7eaf278000 5497
 send_target_man-200   [000] ...1   683.082704: send_zram_to_nbd: target sent: 6475 7eaf279000 5498
 send_target_man-200   [000] ...1   683.084802: send_zram_to_nbd: target sent: 6475 7eaf27a000 5499
 send_target_man-200   [000] ...1   683.086485: send_zram_to_nbd: target sent: 6475 7e9c766000 549a
 send_target_man-200   [000] ...1   683.088454: send_zram_to_nbd: target sent: 6475 7eaf27b000 549b
 send_target_man-200   [003] ...1   683.090430: send_zram_to_nbd: target sent: 6475 7eaf27c000 549c
 send_target_man-200   [003] .n.1   683.093251: send_zram_to_nbd: target sent: 6475 7eaf2b0000 549d
 send_target_man-200   [003] ...1   683.095592: send_zram_to_nbd: target sent: 6475 7e9c902000 549e
 send_target_man-200   [003] ...1   683.097468: send_zram_to_nbd: target sent: 6475 7e9c903000 549f
 send_target_man-200   [003] ...1   683.099428: send_zram_to_nbd: target sent: 6475 7eaf37e000 54a0
 send_target_man-200   [003] ...1   683.101606: send_zram_to_nbd: target sent: 6475 7eaf1e3000 54a1
 send_target_man-200   [002] ...1   683.103883: send_zram_to_nbd: target sent: 6475 7eaf271000 54a2
 send_target_man-200   [002] ...1   683.107454: send_zram_to_nbd: target sent: 6475 7eaf341000 54a3
 send_target_man-200   [002] ...1   683.109659: send_zram_to_nbd: target sent: 6475 7eaf37f000 54a4
 send_target_man-200   [002] ...1   683.112082: send_zram_to_nbd: target sent: 6475 7eaebbd000 54a5
 send_target_man-200   [002] ...1   683.114600: send_zram_to_nbd: target sent: 6475 7eaf200000 54a6
 send_target_man-200   [002] ...1   683.117276: send_zram_to_nbd: target sent: 6475 7e9c904000 54a7
 send_target_man-200   [002] ...1   683.119630: send_zram_to_nbd: target sent: 6475 7eaf262000 54a8
 send_target_man-200   [002] ...1   683.121753: send_zram_to_nbd: target sent: 6475 7eaf267000 54a9
 send_target_man-200   [002] ...1   683.123755: send_zram_to_nbd: target sent: 6475 7e9c772000 54aa
 send_target_man-200   [002] ...1   683.127273: send_zram_to_nbd: target sent: 6475 7eaf268000 54ab
 send_target_man-200   [001] ...1   683.130107: send_zram_to_nbd: target sent: 6475 7eaf263000 54ac
 send_target_man-200   [000] ...1   683.132169: send_zram_to_nbd: target sent: 6475 7eaf275000 54ad
