[ 7255.857224] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fbdb000
[ 7255.857252] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204fd000
[ 7255.857265] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204fe000
[ 7255.857296] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204c2000
[ 7255.860315] after: swapin tgid 15923 pid 16108 name "Image Decoding" vma 7e7efe3000
[ 7255.963272] after: swapin tgid 15923 pid 16263 name "UploadJobHandle" vma 7e6adff000
[ 7255.963314] after: swapin tgid 15923 pid 16263 name "UploadJobHandle" vma 7e6ae00000
[ 7256.223085] swapout tgid 15923 pid 15923 name "stagram.android" vma 7e6b0c1000
[ 7256.276931] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e536ec000
[ 7256.277001] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5cef6000
[ 7256.277022] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5cef7000
[ 7256.277036] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5ce28000
[ 7256.277051] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e536ed000
[ 7256.277070] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2d6e0000
[ 7256.277085] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2d7fc000
[ 7256.277108] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e9ad45000
[ 7256.278327] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e52fd4000
[ 7256.278358] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e52fd5000
[ 7256.295716] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5cb61000
[ 7256.295754] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5d4e8000
[ 7256.478390] after: swapin tgid 15923 pid 16032 name "iga2_mb" vma 7e9ae8d000
[ 7256.544104] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5cd3d000
[ 7256.544176] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e535b9000
[ 7256.544206] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e528ed000
[ 7256.544236] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e536f0000
[ 7256.544292] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5d311000
[ 7256.544326] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fb8d000
[ 7256.544358] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6146e000
[ 7256.544400] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5412e000
[ 7256.544427] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e7faca000
[ 7256.544453] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e52dd3000
[ 7256.544539] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e614a1000
[ 7256.544700] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e614a4000
[ 7256.544787] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e9ace4000
[ 7256.544804] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e9ace6000
[ 7256.554866] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f27000
[ 7256.554905] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f28000
[ 7256.554912] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f29000
[ 7256.555123] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f2a000
[ 7256.555729] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e52fd6000
[ 7256.555758] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e52fd7000
[ 7256.575407] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7e5cf68000
[ 7256.579041] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e53220000
[ 7256.579136] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e532ed000
[ 7256.579168] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5379f000
[ 7256.579190] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5dcd1000
[ 7256.606937] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7ea4013000
[ 7256.606976] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7ea4016000
[ 7256.607939] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 12f2a000
[ 7256.613389] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 6f91d000
[ 7256.614386] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6af36000
[ 7256.614513] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fc0b000
[ 7256.614531] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6af37000
[ 7256.615064] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6116e000
[ 7256.615125] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e61279000
[ 7256.615236] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6127a000
