# tracer: nop
#
# entries-in-buffer/entries-written: 11063/11063   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-6807  [000] ....  1452.606382: read_swap_cache_async: remote readpage 6503 "Chrome_InProcGp" 7e9ae92000 3721bf
 send_target_man-200   [001] ...1  1473.389944: send_zram_to_nbd: target sent: 6503 7e9a5fb000 60612d
 send_target_man-200   [001] ...1  1473.392714: send_zram_to_nbd: target sent: 6503 7e9b1b1000 60212b
 send_target_man-200   [001] ...1  1473.394411: send_zram_to_nbd: target sent: 6503 7e9a5fc000 60212c
 send_target_man-200   [001] ...1  1473.396581: send_zram_to_nbd: target sent: 6503 7e9ae7a000 60212d
 send_target_man-200   [000] ...1  1473.398923: send_zram_to_nbd: target sent: 6503 7e9a145000 60212e
 send_target_man-200   [000] ...1  1473.401047: send_zram_to_nbd: target sent: 6503 7e9b0c4000 612110
 send_target_man-200   [000] ...1  1473.404054: send_zram_to_nbd: target sent: 6503 7e9a677000 612112
 send_target_man-200   [000] ...1  1473.406075: send_zram_to_nbd: target sent: 6503 7e9adca000 612114
 send_target_man-200   [000] ...1  1473.408155: send_zram_to_nbd: target sent: 6503 7f28afc000 612116
 send_target_man-200   [003] ...1  1473.410337: send_zram_to_nbd: target sent: 6503 7e9a670000 612118
 send_target_man-200   [003] ...1  1473.411897: send_zram_to_nbd: target sent: 6503 7e9a671000 fa144
 send_target_man-200   [002] ...1  1473.414040: send_zram_to_nbd: target sent: 6503 7e9a751000 fa145
 send_target_man-200   [002] ...1  1473.416543: send_zram_to_nbd: target sent: 6503 7f29405000 60612e
 send_target_man-200   [002] .n.1  1473.419512: send_zram_to_nbd: target sent: 6503 7f28ee7000 60612f
 send_target_man-200   [002] ...1  1473.422561: send_zram_to_nbd: target sent: 6503 7f39870000 606130
 send_target_man-200   [002] ...1  1473.426290: send_zram_to_nbd: target sent: 6503 7f2927e000 606131
 send_target_man-200   [002] ...1  1473.428980: send_zram_to_nbd: target sent: 6503 7e9ae66000 606132
 send_target_man-200   [002] ...1  1473.431400: send_zram_to_nbd: target sent: 6503 7e9a73e000 606133
 send_target_man-200   [002] ...1  1473.434056: send_zram_to_nbd: target sent: 6503 7e9a68b000 606134
 send_target_man-200   [003] ...1  1473.437678: send_zram_to_nbd: target sent: 6503 7e9a68c000 606135
 send_target_man-200   [003] ...1  1473.440199: send_zram_to_nbd: target sent: 6503 7e9aa37000 fa146
 send_target_man-200   [003] ...1  1473.442462: send_zram_to_nbd: target sent: 6503 7e9a78a000 fa147
 send_target_man-200   [003] ...1  1473.444589: send_zram_to_nbd: target sent: 6503 7e9a76e000 fa148
 send_target_man-200   [003] ...1  1473.447074: send_zram_to_nbd: target sent: 6503 7ed0d36000 fa149
 send_target_man-200   [003] ...1  1473.449221: send_zram_to_nbd: target sent: 6503 7e9b21d000 fa14a
 send_target_man-200   [003] ...1  1473.451000: send_zram_to_nbd: target sent: 6503 7e9b21e000 fa14b
 send_target_man-200   [003] ...1  1473.452827: send_zram_to_nbd: target sent: 6503 7f28ba6000 fa14c
 send_target_man-200   [003] ...1  1473.455205: send_zram_to_nbd: target sent: 6503 7e9a196000 fa14d
 send_target_man-200   [002] ...1  1473.457765: send_zram_to_nbd: target sent: 6503 7f2927f000 fa14e
 send_target_man-200   [003] ...1  1473.461977: send_zram_to_nbd: target sent: 6503 7e9a74b000 606136
 send_target_man-200   [003] ...1  1473.463889: send_zram_to_nbd: target sent: 6503 7e9a6b9000 fa14f
 send_target_man-200   [003] ...1  1473.466252: send_zram_to_nbd: target sent: 6503 7e99dba000 fa150
 send_target_man-200   [003] ...1  1473.468371: send_zram_to_nbd: target sent: 6503 7ea2cea000 fa151
 send_target_man-200   [002] ...1  1473.470133: send_zram_to_nbd: target sent: 6503 7f3985f000 fa152
 send_target_man-200   [002] ...1  1473.472075: send_zram_to_nbd: target sent: 6503 7e9b218000 606137
 send_target_man-200   [002] ...1  1473.474762: send_zram_to_nbd: target sent: 6503 7e9b21f000 606138
